Acquisition_1,Acquisition_2,Acquisition_3,Acquisition_4,Acquisition_5,Acquisition_6,Acquisition_7,Acquisition_8,Acquisition_9,Acquisition_10,Acquisition_11,Acquisition_12,Acquisition_13,Acquisition_14,Acquisition_15,Acquisition_16,Acquisition_17,Acquisition_18,Acquisition_19,Acquisition_20,Acquisition_21,Acquisition_22,Acquisition_23,Acquisition_24,Acquisition_25
924670305134.57,862950404965.27,752578387432.56,633813235827.65,698406770863.73,872967657678.70,906939401477.26,802040788234.81,687782607189.08,625157057990.63,653918210025.89,716304617189.93,822426618877.97,922094252421.88,858175876726.10,759995923537.52,632901893534.02,668663997655.64,836062571356.12,858303562534.47,685892888729.28,626228593263.61,795935479869.90,636317337822.28,874062009907.56
924519858071.89,862857127411.52,752538395744.18,633922484499.69,698435668312.75,873124830425.05,907054053663.84,801729450353.73,687769493772.66,625030057965.00,653933092189.70,715962394981.53,822610793058.60,921746345880.98,857789142246.29,759572211821.14,632493125224.40,668264429865.07,835566983235.49,857874011574.63,685551831571.91,626075836207.03,795642250699.81,635772363361.15,873522949395.92
924349736907.90,862753144924.22,752498424788.31,634002456039.16,698452282780.84,873275243246.09,907198010053.88,801418145757.64,687733714737.75,624878074623.89,653937257258.26,715630518132.10,822769556670.93,921359466827.93,857366103628.50,759113972164.34,632049532132.70,667827871573.86,835035834804.32,857405605606.85,685190229674.37,625923212517.66,795332295528.05,635195041786.33,872946287118.08
924160522968.19,862676557990.96,752458474788.15,634053179850.46,698456633057.09,873418879613.81,907312546055.13,801131098654.95,687675259348.97,624712534002.78,653968773175.21,715298750946.97,822902961145.10,920933620148.23,856906790073.20,758621241078.10,631571148631.50,667354340031.09,834469152852.01,856921202236.15,684868281802.15,625770722161.78,795005591107.97,634585400838.60,872332031079.60
923952278868.78,862589324370.41,752388085931.62,634074688505.89,698422599140.12,873555728114.93,907397653437.33,800844041114.70,687600471539.75,624560734451.89,653972888295.81,715005061469.27,823011061157.70,920468810795.20,856411231649.09,758094056563.89,631058010722.40,666843853320.10,833866965263.21,856397897743.18,684585984506.71,625618365109.73,794662118926.09,633943470680.89,871680189766.74
923725071106.61,862491482733.81,752281014047.65,634104276232.70,698362485769.83,873655647380.74,907445433061.35,800556969453.26,687503002362.15,624383977830.08,653949556181.31,714711489664.84,823093914646.29,919965043790.58,855946699071.55,757532458135.38,630510156063.53,666341081779.83,833229301032.96,855858518435.53,684343334214.37,625466141334.88,794301865207.36,633269283923.45,870990772151.90
923537485064.06,862383076758.00,752137265615.78,634126208898.24,698328586968.26,873748770367.13,907455888254.77,800269881802.24,687444676688.03,624182285522.29,653898870045.93,714418035917.63,823202662390.59,919422324225.29,855451911388.57,756936486841.17,629962706845.34,665801344243.71,832556190282.90,855303013564.76,684079983973.79,625314050812.92,793963960634.91,632562875652.23,870263787699.58
923331028707.83,862264155132.62,751956847892.34,634140434377.66,698307042798.10,873835097685.05,907429022824.25,799997407579.77,687425493877.04,623994406276.83,653820937643.31,714124700614.60,823286202938.28,918840657260.19,854920932299.19,756306185288.57,629380593597.96,665224658199.89,831847664278.61,854731336750.30,683856228298.55,625145339869.26,793609261195.52,631824283460.00,869508112774.77
923105776344.70,862145376210.84,751739768931.82,634192105263.11,698297832896.56,873914635062.89,907372720621.32,799763800375.10,687445453340.10,623820378095.17,653715754555.17,713831484145.37,823344597550.55,918220048126.85,854353793841.13,755641597668.48,628763857522.38,664611041986.24,831103755447.91,854143445984.97,683672063581.26,624959980523.29,793237766923.61,631053547480.17,868743576020.01
922861806211.70,862016153425.04,751492241172.60,634206678525.70,698288666812.78,873987393345.58,907286974583.66,799569061702.25,687504554539.95,623660245543.21,653583300079.55,713538386901.84,823377910789.32,917560502128.40,853750528975.37,754942769781.43,628112541574.90,663960514803.04,830395842728.79,853555614439.96,683527486110.15,624757950794.43,792849482626.41,630250710423.06,867950340502.88
